cycle_index,Qd,td,Ro,tcc,tcv,Q_max,Q_min,Q_mean,Q_var,Q_skew,Q_kurt,Q_quar1,Q_medi,Q_quar3,Q_iqr,V_max,V_min,V_mean,V_var,V_skew,V_kurt,V_quar1,V_medi,V_quar3,V_iqr,T_max,T_min,T_mean,T_var,T_skew,T_kurt,T_quar1,T_medi,T_quar3,T_iqr,t_max,t_min,t_mean,t_var,t_skew,t_kurt,t_quar1,t_medi,t_quar3,t_iqr,dQV_max,dQV_min,dQV_mean,dQV_var,dQV_skew,dQV_kurt,dQV_quar1,dQV_medi,dQV_quar3,dQV_iqr,dTV_max,dTV_min,dTV_mean,dTV_var,dTV_skew,dTV_kurt,dTV_quar1,dTV_medi,dTV_quar3,dTV_iqr,dVt_max,dVt_min,dVt_mean,dVt_var,dVt_skew,dVt_kurt,dVt_quar1,dVt_medi,dVt_quar3,dVt_iqr,dQ_pos,dQ_area,dT_pos,dT_area
0,1.4164099738894422,29.97,,,,1.8375968174810766,0.4211868435916344,1.149395404431992,0.1534016548761877,-0.6552798341190581,-1.1942299409583783,0.7185814756266098,1.3167178230067837,1.4664903663846125,0.7479088907580027,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,30.64066089995979,29.233875863260998,29.69237431528017,0.04785417576444068,0.8072655525323672,1.69266642479605,29.56234228552499,29.666311025541177,29.810341434253903,0.24799914872891193,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,675.9402633663658,-146.4994096058026,0.47815971406640095,2270.045575830602,5.856670163521268,73.94807456814887,-12.236919543183433,-0.2983757523373356,9.536101664563205,21.773021207746638,479.8129730345571,-267.3434743379148,-0.11037800448705003,3733.78849739141,0.5896397986321982,8.002027182784337,-23.903495649017714,-1.275787531372771,21.402379997162825,45.30587564618054,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,2.7999999279493943,0.09825916740801999,2.7999999279493943,-0.24159334097613577
1,0.9876609740934852,29.97,,,,0.987659200425259,-1.7736682262025055e-06,0.39459485494888885,0.16309508420111513,0.3135006161943818,-1.6891846686258742,0.008764312958746048,0.19872981211991392,0.8508982144797237,0.8421339015209777,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,34.81642122042039,29.750634459974954,31.63035504932369,3.8020225000727863,0.37275896258451613,-1.5777414303392745,29.792358398437116,30.82573268818012,33.69522650657228,3.9028681081351664,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.01832641373139232,-6.4735322182601465,-1.4096945214013812,3.1757447647061863,-1.3912396495821209,0.7501778963354364,-2.070033549693619,-0.5442643389300201,-0.12992940046628376,1.9401041492273352,8.80125738483153,-45.76663499339338,-7.213444336406272,81.69799895848375,-1.3111736191355614,1.5529425340199445,-11.986343417052922,-3.6473505417488923,0.0,11.986343417052922,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.3430430527359105,-0.98765385585507,2.7999999279493943,-5.05754978589912
2,0.9909994770790674,29.97,,,,0.9909922577259759,-7.2193530915646695e-06,0.39597290421955644,0.16462222673454022,0.31351542393907933,-1.691242268799175,0.008668406771359462,0.19582825714491997,0.8548886540119914,0.8462202472406319,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,34.71406427273502,29.54767859360057,31.53653570738419,4.080061309990375,0.30370094803319625,-1.6522958869602125,29.579618453979105,30.724143664561357,33.61916521695241,4.0395467629733055,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.01978010303641753,-6.550319214873497,-1.4144519933126798,3.249302952255615,-1.4149605929480267,0.8280510587251166,-2.094246481037544,-0.5429275061172891,-0.1260002136368379,1.9682462674007062,5.9808093383362575,-47.93623109659893,-7.310388417231216,96.22580188574673,-1.553195250626642,2.1426078971654317,-11.681068976246934,-4.079836535895083,0.0,11.681068976246934,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.352152163216201,-0.9909870936073766,2.8574573940558388,-5.123487396426919
3,0.9927832020646757,29.97,,,,0.9927739655877575,-9.23647691822877e-06,0.39858374251922224,0.1657112990361686,0.30704891431937564,-1.695720534413974,0.008772256304100848,0.20532537236956783,0.8594812973739747,0.8507090410698739,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,35.064352987575,29.80852072143017,31.83748551160292,4.281385125281135,0.3112343582947232,-1.6468093703716913,29.855382445903338,31.01234200063854,34.0227299862022,4.167347540298863,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.018244353062305763,-6.567852250759728,-1.4169935446643196,3.251340444237282,-1.3963996663231706,0.7443498545553027,-2.080892303562308,-0.5392538995593625,-0.13173381563832146,1.9491584879239867,12.198280567341946,-46.83780267188922,-7.421514057668113,103.33996558915166,-1.4935462431694462,1.867061028359939,-11.558969786128728,-3.8208007265893684,0.0,11.558969786128728,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.3416416511235583,-0.9927693252107567,2.7999999279493943,-5.204534555769424
4,0.9944627644598191,29.97,,,,0.9944532890188686,-9.475440950478576e-06,0.3996247181632311,0.1659593146144245,0.30548797971565517,-1.6943238141306114,0.008891627513204145,0.21099727634731175,0.8603414074936278,0.8514497799804236,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,35.201146085765345,29.96421514300943,31.904167223783737,4.069734663258141,0.3930831185420681,-1.5529404042767951,30.01020031951112,31.0186976999888,34.00850801165444,3.998307692143321,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.021203912066495967,-6.407703432792715,-1.4193874654863798,3.211927202078118,-1.3740739100848387,0.679144221934286,-2.1457079775638874,-0.5462588262519379,-0.13227584756159128,2.013432130002296,8.771908436210651,-37.15527765310253,-7.40316811504815,83.78528584179813,-1.0630792301602465,0.3300299029444842,-12.668024009779401,-4.461669198784875,0.0,12.668024009779401,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.350750761603848,-0.9944484848459697,3.3108108156518075,-5.186255042709496
5,0.9937536916169324,29.97,,,,0.9937408868233946,-1.2804793537844165e-05,0.3992292300078674,0.1657882389429854,0.3046911534566944,-1.6956414467931857,0.0088003902446834,0.20902493869310645,0.8592586000241592,0.8504582097794758,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,34.77939289257439,29.820530443418722,31.70089915243547,3.7485516402721157,0.33051333765596236,-1.6095144845309637,29.838582992553324,30.98781923734856,33.73140760978512,3.892824617231799,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.017394127277408522,-6.605458588959465,-1.4183722639063494,3.24137015508663,-1.3995086167420423,0.7767382299737067,-2.1030461100540165,-0.5460926086799986,-0.13204743633670044,1.9709986737173162,7.623784464150958,-42.795460600777005,-7.053952876036386,87.91128792675894,-1.4513676361683867,1.9014302017179983,-11.810113768587144,-3.4617770137501793,0.0,11.810113768587144,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.350050060797672,-0.9937355208200952,3.238638632615664,-4.940809900020628
6,0.9947658815586049,29.97,,,,0.9947847211368676,1.883957826263967e-05,0.40040605148967967,0.16649597731286292,0.3025934894751115,-1.697863664710114,0.008828690157344804,0.21109028391945334,0.862013901087517,0.8531852109301722,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,34.83700702321883,29.80383129188421,31.74865352331223,3.9227093710934735,0.3074495631061071,-1.6454458071263887,29.848324319278547,31.02509974840965,33.84852108420671,4.0001967649281625,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.019368119807532835,-6.585972852442865,-1.419798300283789,3.258882659146767,-1.3980149382983496,0.763346372028813,-2.111114955575573,-0.5363974569228844,-0.12988075579704106,1.981234199778532,5.829745058686967,-45.796030210774916,-7.137725285089877,91.36016453823764,-1.7298389274735728,3.021321218675906,-11.06492831158539,-3.860456885317035,0.0,11.06492831158539,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.3619619745026665,-0.9947431303478667,3.350050060797672,-5.000037647608476
7,0.9950946061704788,29.97,,,,0.995182090065068,8.748389458907628e-05,0.4002974572321177,0.1664191926115423,0.30426893594036775,-1.6955876497236597,0.008876096215862876,0.21175665253957165,0.8617516173769499,0.8528755211610871,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,35.12874352009805,29.744886185071103,31.744423281236802,4.3503456456692415,0.36629415271931565,-1.5819751032362592,29.76785922027055,30.86842668800775,33.95527171839171,4.187412498121155,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.019214099402311113,-6.497269696005503,-1.4202733954355709,3.2277638732814737,-1.375871238897664,0.6841158670815517,-2.142792449242961,-0.531536216120287,-0.12900255158219087,2.01378989766077,8.529401244817564,-40.110198174581456,-7.6780032983448585,92.18868763941937,-1.1692624792508663,0.7854346198231763,-12.687308830066286,-4.793593736651019,0.0,12.687308830066286,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.3598598720841384,-0.995072711105067,3.2036035923068567,-5.379565587358859
8,0.9925439804340349,29.97,,,,0.9927278864431565,0.00018390600912151378,0.39902410640123454,0.16565998982514576,0.30486194709114184,-1.6962777896273744,0.008791908506237334,0.20795332806120176,0.8595013409000014,0.8507094323937641,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,34.73424600679816,29.59050035242826,31.576992264331018,4.056259908709114,0.3034919275169753,-1.644877355387929,29.635511398315046,30.849853481954504,33.6821676864071,4.046656288092052,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.019554240158952574,-6.536620170534633,-1.4166331232302067,3.242852789139537,-1.399271422150351,0.7695393753556594,-2.1056688483131722,-0.5470299782190882,-0.12664216036256426,1.979026687950608,6.867240248557209,-47.45810869069828,-7.279950731231332,96.8567856477937,-1.7151275701805517,2.922134832304578,-10.905180294696038,-3.482827914338486,0.0,10.905180294696038,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.3605605728903143,-0.9925180537931548,3.392092109168241,-5.098734608482766
9,0.994427888905195,29.97,,,,0.9946743883272224,0.00024649942202748844,0.40060449279471205,0.16648522115414588,0.3020237169187919,-1.6980169496809343,0.008844764895225864,0.21263155317222387,0.8624326460517046,0.8535878811564787,3.500000033319368,2.7999999279493943,3.1499999999455968,0.04091508154678718,-7.95899448843203e-09,-1.200000016191528,2.9749999473241857,3.1499999572576414,3.3249999780832176,0.35000003075903185,34.81944877442141,29.69107267598578,31.687455021250816,4.142192075387048,0.31421207623984876,-1.638583354765517,29.731463821076545,30.948464629305995,33.84501000703915,4.113546185962605,29.97,0.0,14.985,74.99992499999999,0.0,-1.199999999999999,7.4925,14.985,22.4775,14.985,0.0193031963026864,-6.466319178760074,-1.4193224123878299,3.249115574182859,-1.3886486420334079,0.7285428782232737,-2.1298886875892435,-0.5402058892029231,-0.12822853049785166,2.0016601570913917,7.163565518483665,-49.70605601530406,-7.319248385776256,99.59583630242103,-1.4789719415699372,2.2216188015770193,-12.267175468849928,-3.951799986707556,0.0,12.267175468849928,0.02335818411152809,0.023356050503764436,0.023356694743701934,1.832092538186719e-13,0.6873636226546836,-0.6853804554504586,0.023356303158600156,0.023356614918746743,0.02335695265892923,6.495003290751811e-07,3.3598598720841384,-0.9944029978472229,2.8665665045361286,-5.126945798957585
